,Station code,waterbody,srcStateName,Minimum temperature of water for different water bodies,Maximum temperature of water for different water bodies,Minimum dissolved oxygen.,Maximum dissolved oxygen,Minimum potential of Hydrogen(Ph) values.,Maximum potential of Hydrogen(Ph) values.,Minimum conductivity required for water quality for different water bodies,Maximum conductivity required for water quality for different water bodies,Minimum biochemical oxygen demand (BOD) required for water quality,Maximum biochemical oxygen demand (BOD) required for water quality,Minimum  of Nitrate N + Nitrite N required for different water bodies,Maximum  of Nitrate N + Nitrite N required for different water bodies,Minimum  of Faecal Coliforms(coliform bacteria is associated with faecal matter) .,Maximum   of Faecal Coliforms(coliform bacteria is associated with faecal matter) .,Minimum  of total coliform required for different water bodies,Maximum  of total coliform required for different water bodies,srcYear,YearCode
656,,DRAIN,TELANGANA,26,32,2.5,5.1,6.63,7.29,1299,1925,15,54,,,2,125,1125,27688,2018,2018
657,,DRAIN,TELANGANA,25,32,2,8.5,6.7,7.83,1125,1526,13,36,,,2,300,1000,17063,2018,2018
658,,DRAIN,TELANGANA,26,30,2,5,6.93,7.57,973,1525,11,30,,,2,13,588,27063,2018,2018
659,,DRAIN,TELANGANA,26,31,1.8,7,6.9,7.91,1656,2220,17,67,,,2,2,1125,6813,2018,2018
660,,DRAIN,TELANGANA,25,29,1.2,7.3,7.1,8.07,177,1932,20,46,,,2,625,1150,30313,2018,2018
661,,DRAIN,TELANGANA,25,30,1.8,7.6,7,8.02,1366,2626,13,37,,,2,2,2100,22500,2018,2018
662,,DRAIN,TELANGANA,25,28,0.9,5.9,7.04,8.4,1205,1946,9,30,,,2,75,900,31250,2018,2018
663,,DRAIN,TELANGANA,26,32,0,0.06,7.18,8.56,912,2197,14,28,41,50,5,125,77,1850,2018,2018
664,,DRAIN,TELANGANA,26,30,0,1.6,7.3,8.23,788,1385,10,38,0.9,17.1,2,220,20,1600,2018,2018
665,,DRAIN,TELANGANA,26,30,0,0.9,7.12,7.94,814,1292,14,34,2,40,2,270,30,1600,2018,2018
666,,DRAIN,TELANGANA,26,30,0.06,2.2,7.4,7.84,980,1169,20,20,0.6,60,2,2,106,380,2018,2018
667,,CANAL,UTTARAKHAND,16,22,9,10,7.58,8.34,,,1,1,,,,,60,110,2018,2018
668,,CANAL,WEST BENGAL,19,33,0,0,7.02,8.59,473,1994,3.9,20,0.04,4.27,1400000,5000000,2800000,9000000,2018,2018
