,Station code,srcStateName,Minimum temperature for ground water in celsius,Maximum temperature for ground water in celsius,Minimum potential of Hydrogen value in water,Maximum potential of Hydrogen value in water,Minimum Conductivity Level,Maximum Conductivity Level,Minimum Biochemical oxygen demand,Maximum Biochemical oxygen demand,Minimum  of Nitrate N + Nitrite N required required for ground water,Maximum  of Nitrate N + Nitrite N required required for ground water,Minimum  of Faecal Coliforms required for ground water,Maximum   of Faecal Coliforms required for ground water,Minimum  of total coliform required for ground water,Maximum  of total coliform required for ground water,srcYear,YearCode
810,1616.0,Madhya Pradesh,24.0,24.0,7.9,7.9,1730.0,1730.0,6.2,6.2,0.1,,,,,,2013,2013
811,1617.0,Madhya Pradesh,27.0,27.0,6.8,6.8,277.0,277.0,1.7,1.7,12.05,12.0,,,22.0,22.0,2013,2013
812,1618.0,Madhya Pradesh,29.0,34.0,7.4,7.4,910.0,950.0,1.2,1.4,0.64,1.0,,,,,2013,2013
813,1619.0,Madhya Pradesh,29.0,29.0,7.3,7.3,850.0,850.0,1.3,1.3,0.43,,,,,,2013,2013
814,2143.0,Madhya Pradesh,21.0,21.0,7.3,7.5,410.0,447.0,1.9,5.0,0.46,,,,,,2013,2013
815,2144.0,Madhya Pradesh,19.0,19.0,7.5,7.5,392.0,392.0,0.9,0.9,0.46,,,,,,2013,2013
816,2145.0,Madhya Pradesh,,,7.5,7.5,2220.0,2220.0,2.0,2.0,4.28,5.08,,,,,2013,2013
817,2146.0,Madhya Pradesh,7.8,7.8,7.8,7.8,5630.0,5630.0,1.2,1.2,6.0,6.32,,,,,2013,2013
818,2148.0,Madhya Pradesh,29.0,29.0,8.1,8.1,2220.0,2220.0,1.8,1.8,2.0,2.15,,,,,2013,2013
819,2149.0,Madhya Pradesh,30.0,30.0,7.6,7.6,1068.0,1068.0,1.4,1.4,2.64,3.0,,,,,2013,2013
820,2153.0,Madhya Pradesh,25.0,25.0,8.1,8.1,1710.0,1710.0,6.4,6.4,,,,,,,2013,2013
821,3327.0,Madhya Pradesh,23.0,23.0,7.4,7.4,340.0,340.0,1.0,1.0,,0.22,,,,,2013,2013
822,3335.0,Madhya Pradesh,18.0,22.0,7.1,7.8,478.0,486.0,1.4,1.4,,0.15,,,75.0,75.0,2013,2013
823,3336.0,Madhya Pradesh,21.0,21.0,7.2,7.2,471.0,471.0,1.0,1.0,0.43,0.97,,,,,2013,2013
824,3338.0,Madhya Pradesh,29.0,29.0,7.4,7.4,280.0,280.0,0.9,0.9,0.5,1.0,,,,,2013,2013
825,2004.0,Maharashtra,,,7.4,7.4,2066.0,2066.0,2.2,2.2,1.62,2.0,,,70.0,70.0,2013,2013
826,2005.0,Maharashtra,,,7.6,7.6,1498.0,1498.0,2.4,2.4,1.38,1.0,,,90.0,90.0,2013,2013
827,2006.0,Maharashtra,,,7.1,7.1,191.0,191.0,2.8,2.8,1.18,1.0,,,70.0,70.0,2013,2013
828,2007.0,Maharashtra,25.0,25.0,7.2,7.2,2183.0,2183.0,2.2,2.2,1.9,2.0,2.0,2.0,90.0,90.0,2013,2013
829,2008.0,Maharashtra,25.0,25.0,7.5,7.5,1275.0,1275.0,2.4,2.4,3.16,3.0,2.0,2.0,110.0,110.0,2013,2013
830,2202.0,Maharashtra,27.0,27.0,6.9,6.9,173.0,173.0,2.4,2.4,0.84,1.0,,,80.0,80.0,2013,2013
831,2829.0,Maharashtra,,,7.9,7.9,967.0,967.0,2.0,2.0,2.04,2.0,,,90.0,90.0,2013,2013
832,2830.0,Maharashtra,,,7.5,7.5,397.0,397.0,2.4,2.4,1.68,2.0,,,80.0,80.0,2013,2013
833,2831.0,Maharashtra,25.0,25.0,8.0,8.0,455.0,455.0,2.4,2.4,0.88,1.0,2.0,2.0,80.0,80.0,2013,2013
834,2832.0,Maharashtra,28.0,28.0,7.1,7.1,86.0,86.0,2.8,2.8,0.56,1.0,,,90.0,90.0,2013,2013
835,2833.0,Maharashtra,28.0,28.0,7.8,7.8,307.0,307.0,2.0,2.0,0.74,1.0,,,70.0,70.0,2013,2013
836,2834.0,Maharashtra,28.0,28.0,7.2,7.2,187.0,187.0,2.2,2.2,1.36,1.0,,,60.0,60.0,2013,2013
837,2835.0,Maharashtra,28.0,28.0,7.2,7.2,89.0,89.0,2.8,2.8,1.58,2.0,,,90.0,90.0,2013,2013
838,1993.0,Maharashtra,28.0,28.0,7.6,7.6,673.0,673.0,4.0,4.0,0.057,,3.0,3.0,70.0,70.0,2013,2013
839,2200.0,Maharashtra,30.0,30.0,7.0,7.0,2968.0,2968.0,3.0,3.0,0.126,,2.0,2.0,90.0,90.0,2013,2013
840,2201.0,Maharashtra,28.0,28.0,7.5,7.5,2032.0,2032.0,5.0,5.0,0.186,,3.0,3.0,80.0,80.0,2013,2013
841,2474.0,Maharashtra,20.0,22.0,7.7,7.9,611.0,801.0,,,0.28,,,,,,2013,2013
842,2475.0,Maharashtra,21.0,22.0,8.0,8.1,661.0,751.0,,,0.46,,,,,,2013,2013
843,2825.0,Maharashtra,28.0,28.0,7.9,7.9,1954.0,1954.0,4.0,4.0,0.135,,3.0,3.0,80.0,80.0,2013,2013
844,1986.0,Maharashtra,27.0,27.0,8.5,8.5,880.0,880.0,4.0,4.0,0.1,,13.0,13.0,20.0,20.0,2013,2013
845,1987.0,Maharashtra,22.0,22.0,7.3,7.3,878.0,878.0,4.0,4.0,0.9,1.0,11.0,11.0,20.0,20.0,2013,2013
846,1988.0,Maharashtra,27.0,27.0,8.3,8.3,1154.0,1154.0,4.2,4.2,0.4,,9.0,9.0,17.0,17.0,2013,2013
847,1990.0,Maharashtra,25.0,25.0,7.7,7.7,1218.0,1218.0,3.2,3.2,4.91,5.0,,,,,2013,2013
848,1991.0,Maharashtra,26.0,26.0,7.7,7.7,981.0,981.0,2.8,2.8,4.97,5.0,34.0,34.0,110.0,110.0,2013,2013
849,1997.0,Maharashtra,30.0,30.0,8.3,8.3,1360.0,1360.0,4.6,4.6,2.98,3.0,11.0,11.0,21.0,21.0,2013,2013
850,1999.0,Maharashtra,28.0,28.0,7.8,7.8,1006.0,1006.0,7.0,7.0,2.24,2.0,17.0,17.0,22.0,22.0,2013,2013
851,2002.0,Maharashtra,27.0,27.0,8.3,8.3,540.0,540.0,6.0,6.0,2.24,2.0,11.0,11.0,26.0,26.0,2013,2013
852,2827.0,Maharashtra,22.0,22.0,7.8,7.8,892.0,892.0,6.8,6.8,2.37,2.0,170.0,170.0,280.0,280.0,2013,2013
853,1985.0,Maharashtra,22.0,22.0,7.9,7.9,1517.0,1517.0,4.2,4.2,1.0,1.0,17.0,17.0,30.0,30.0,2013,2013
854,1994.0,Maharashtra,22.0,22.0,8.1,8.1,810.0,810.0,5.0,5.0,1.399,1.0,23.0,23.0,30.0,30.0,2013,2013
855,1995.0,Maharashtra,22.0,22.0,8.2,8.2,810.0,810.0,5.8,5.8,4.43,4.0,14.0,14.0,26.0,26.0,2013,2013
856,1996.0,Maharashtra,27.0,27.0,7.9,7.9,1094.0,1094.0,6.8,6.8,7.8,8.0,13.0,13.0,22.0,22.0,2013,2013
857,1998.0,Maharashtra,22.0,22.0,7.7,7.7,1502.0,1502.0,8.0,8.0,4.43,4.0,11.0,11.0,27.0,27.0,2013,2013
858,2000.0,Maharashtra,27.0,27.0,7.6,7.6,1016.0,1016.0,7.0,7.0,8.26,8.0,26.0,26.0,33.0,33.0,2013,2013
859,2003.0,Maharashtra,20.0,20.0,8.8,8.8,1310.0,1310.0,5.8,5.8,10.3,10.0,13.0,13.0,21.0,21.0,2013,2013
860,2204.0,Maharashtra,26.0,26.0,8.1,8.1,614.0,614.0,2.8,2.8,3.25,3.0,,,,,2013,2013
861,2819.0,Maharashtra,28.0,28.0,8.2,8.2,2515.0,2515.0,4.6,4.6,6.6,7.0,30.0,30.0,425.0,425.0,2013,2013
862,2826.0,Maharashtra,22.0,22.0,8.2,8.2,898.0,898.0,5.2,5.2,10.1,10.0,11.0,11.0,30.0,30.0,2013,2013
863,2828.0,Maharashtra,22.0,22.0,8.2,8.2,498.0,498.0,5.0,5.0,3.22,3.0,9.0,9.0,14.0,14.0,2013,2013
864,2203.0,Maharashtra,23.0,23.0,8.2,8.2,692.0,692.0,5.6,5.6,1.55,2.0,11.0,11.0,70.0,70.0,2013,2013
865,1989.0,Maharashtra,28.0,28.0,8.4,8.4,233.0,233.0,3.8,3.8,0.1,,25.0,25.0,45.0,45.0,2013,2013
866,2820.0,Maharashtra,22.0,24.0,8.7,8.9,615.0,1022.0,3.4,4.0,0.43,10.2,14.0,30.0,275.0,350.0,2013,2013
867,1634.0,Meghalaya,17.0,18.0,6.6,6.9,195.0,220.0,2.6,3.0,8.0,8.0,21.0,23.0,39.0,43.0,2013,2013
868,1635.0,Meghalaya,18.0,20.0,5.1,5.7,220.0,250.0,1.2,4.2,15.1,15.0,28.0,31.0,52.0,58.0,2013,2013
869,1637.0,Meghalaya,17.0,19.0,6.5,6.6,75.0,87.0,0.5,0.6,6.0,6.0,9.0,12.0,17.0,26.0,2013,2013
870,1638.0,Meghalaya,15.0,20.0,6.0,6.6,120.0,131.0,0.5,0.6,7.2,7.0,8.0,11.0,13.0,17.0,2013,2013
871,3385.0,Meghalaya,16.0,18.0,6.8,7.0,30.0,34.0,1.0,1.2,2.8,2.8,4.0,9.0,21.0,29.0,2013,2013
872,3386.0,Meghalaya,46.0,50.0,9.5,9.7,330.0,342.0,1.0,1.0,0.8,0.8,2.0,8.0,9.0,10.0,2013,2013
873,2054.0,Mizoram,16.0,22.0,5.3,8.3,11.0,435.0,1.0,2.8,0.079,0.079,,,,,2013,2013
874,2055.0,Mizoram,15.0,22.0,6.7,8.8,11.0,533.0,0.2,1.2,0.082,0.082,,,,,2013,2013
875,1644.0,ORISSA,29.0,32.0,6.1,8.2,280.0,610.0,0.4,0.6,2.983,10.0,2.0,23.0,8.0,23.0,2013,2013
876,1645.0,ORISSA,29.0,31.0,6.8,8.5,435.0,642.0,0.3,0.5,2.269,5.0,2.0,2.0,2.0,2.0,2013,2013
877,1646.0,ORISSA,28.0,31.0,7.3,8.1,143.0,159.0,0.3,0.5,0.856,1.0,2.0,2.0,2.0,2.0,2013,2013
878,1647.0,ORISSA,28.0,32.0,7.1,8.4,254.0,284.0,0.2,0.4,1.114,1.0,2.0,2.0,2.0,2.0,2013,2013
879,1648.0,ORISSA,29.0,31.0,7.3,8.4,241.0,261.0,0.2,0.4,0.797,1.0,2.0,4.0,2.0,13.0,2013,2013
880,1649.0,ORISSA,30.0,31.0,5.3,6.9,260.0,377.0,0.3,0.3,8.585,9.0,2.0,2.0,2.0,2.0,2013,2013
881,1650.0,ORISSA,28.0,29.0,6.5,7.4,228.0,289.0,0.9,1.2,2.64,3.0,2.0,2.0,2.0,2.0,2013,2013
882,1651.0,ORISSA,30.0,31.0,6.5,7.5,489.0,819.0,0.4,0.8,9.169,9.0,33.0,33.0,2.0,2.0,2013,2013
883,1652.0,ORISSA,28.0,31.0,7.1,7.3,227.0,232.0,0.1,0.2,5.508,6.0,2.0,2.0,2.0,2.0,2013,2013
884,1653.0,ORISSA,27.0,31.0,6.5,7.8,115.0,255.0,0.4,1.1,1.907,5.0,2.0,2.0,2.0,2.0,2013,2013
885,1654.0,ORISSA,28.0,28.0,6.5,7.5,98.0,179.0,0.6,0.9,4.652,5.0,23.0,23.0,2.0,2.0,2013,2013
886,1655.0,ORISSA,26.0,26.0,7.1,7.6,390.0,1056.0,0.3,1.2,1.45,11.0,2.0,240.0,8.0,14.0,2013,2013
887,1656.0,ORISSA,25.0,27.0,7.0,8.4,1160.0,1450.0,0.6,1.5,0.509,13.0,8.0,49.0,8.0,23.0,2013,2013
888,1657.0,ORISSA,25.0,30.0,7.1,8.2,734.0,855.0,0.3,2.2,9.556,10.0,2.0,5.0,2.0,13.0,2013,2013
889,1658.0,ORISSA,26.0,26.0,7.1,7.9,390.0,850.0,0.6,1.2,1.45,11.0,2.0,540.0,8.0,27.0,2013,2013
890,1397.0,PONDICHERRY,30.0,32.0,6.4,6.9,4630.0,4850.0,,,0.283,1.0,,,,,2013,2013
891,1398.0,PONDICHERRY,30.0,33.0,6.5,6.6,1067.0,1108.0,,,0.07,1.0,,,,,2013,2013
892,1453.0,PONDICHERRY,30.0,31.0,6.3,6.6,575.0,625.0,,,3.096,5.0,,,,,2013,2013
893,1454.0,PONDICHERRY,28.0,31.0,6.1,6.2,182.0,212.0,,,0.796,1.0,,,,,2013,2013
894,1688.0,PONDICHERRY,30.0,30.0,7.1,7.2,668.0,1183.0,,,,,,,,,2013,2013
895,1689.0,PONDICHERRY,24.0,24.0,7.7,7.7,,,,,,,,,,,2013,2013
896,2009.0,PONDICHERRY,30.0,30.0,6.3,6.5,528.0,553.0,,,5.094,7.0,,,,,2013,2013
897,2010.0,PONDICHERRY,30.0,33.0,6.6,6.8,1081.0,1150.0,,,0.793,1.0,,,,,2013,2013
898,2011.0,PONDICHERRY,30.0,32.0,7.3,7.5,2390.0,2850.0,,,,,,,,,2013,2013
899,2012.0,PONDICHERRY,34.0,34.0,6.8,6.8,1148.0,1148.0,,,,,,,,,2013,2013
900,2013.0,PONDICHERRY,25.0,26.0,8.3,8.7,1268.0,1521.0,,,0.58,1.0,,,,,2013,2013
901,2014.0,PONDICHERRY,22.0,27.0,8.7,8.8,118.0,1241.0,,,0.487,1.0,,,,,2013,2013
902,2446.0,PONDICHERRY,27.0,27.0,6.4,6.4,326.0,326.0,,,4.469,6.0,,,,,2013,2013
903,2447.0,PONDICHERRY,28.0,28.0,5.8,5.8,103.0,103.0,,,2.196,3.0,,,,,2013,2013
904,1898.0,PUNJAB,,,7.0,7.0,,,,,0.7,1.0,,,,,2013,2013
905,1899.0,PUNJAB,,,7.0,7.0,,,,,0.8,1.0,,,,,2013,2013
906,1900.0,PUNJAB,,,7.0,7.0,,,,,1.1,1.22,,,,,2013,2013
907,1901.0,PUNJAB,,,7.0,7.0,,,,,0.9,1.0,,,,,2013,2013
908,1902.0,PUNJAB,,,7.0,7.0,,,,,0.5,1.05,,,,,2013,2013
909,1903.0,PUNJAB,,,7.0,7.0,,,,,0.3,1.33,,,,,2013,2013
910,1415.0,Rajasthan,25.0,25.0,7.7,8.9,4800.0,6800.0,1.4,9.7,3.1,3.9,4.0,4.0,4.0,7.0,2013,2013
911,1416.0,Rajasthan,26.0,26.0,8.4,9.1,7700.0,15400.0,1.6,13.0,4.0,6.0,4.0,4.0,4.0,7.0,2013,2013
912,1706.0,Rajasthan,27.0,29.0,8.0,8.4,910.0,1140.0,0.6,2.5,0.98,1.02,4.0,4.0,7.0,7.0,2013,2013
913,1708.0,Rajasthan,26.0,29.0,7.7,8.0,1300.0,2300.0,1.0,3.7,0.74,1.0,4.0,4.0,4.0,9.0,2013,2013
914,1736.0,Uttar Pradesh,24.0,24.0,6.9,7.0,964.0,1164.0,4.7,5.6,3.0,4.36,60.0,60.0,140.0,180.0,2013,2013
915,1709.0,Rajasthan,27.0,28.0,7.4,8.1,3000.0,3200.0,1.1,3.3,1.02,1.0,4.0,4.0,7.0,9.0,2013,2013
916,1710.0,Rajasthan,26.0,27.0,7.6,8.2,1640.0,2600.0,0.7,1.6,3.16,3.0,,,4.0,4.0,2013,2013
917,1711.0,Rajasthan,24.0,27.0,7.4,8.1,3500.0,3900.0,0.6,3.1,5.44,6.0,4.0,4.0,4.0,9.0,2013,2013
918,1712.0,Rajasthan,26.0,28.0,7.8,7.8,1850.0,2400.0,0.9,1.9,1.02,1.0,4.0,4.0,4.0,7.0,2013,2013
919,1713.0,Rajasthan,27.0,28.0,7.8,7.9,1390.0,1470.0,0.7,1.3,0.92,1.0,4.0,4.0,4.0,7.0,2013,2013
920,1715.0,Rajasthan,29.0,30.0,7.6,8.2,1330.0,1360.0,0.7,2.4,1.54,2.0,4.0,4.0,9.0,9.0,2013,2013
921,1720.0,Rajasthan,22.0,27.0,7.9,8.3,1220.0,1370.0,0.5,2.9,0.92,1.0,7.0,7.0,4.0,21.0,2013,2013
922,1721.0,Rajasthan,28.0,28.0,8.0,8.2,410.0,560.0,0.6,2.0,2.8,3.0,4.0,4.0,4.0,9.0,2013,2013
923,1723.0,Rajasthan,25.0,27.0,8.0,8.0,3200.0,3400.0,0.9,8.0,1.14,2.0,,,4.0,4.0,2013,2013
924,1724.0,Rajasthan,26.0,26.0,8.2,8.3,1310.0,1420.0,0.8,2.3,0.48,1.0,4.0,4.0,4.0,9.0,2013,2013
925,1725.0,Rajasthan,26.0,26.0,6.9,7.5,890.0,1640.0,1.1,1.4,0.22,1.0,4.0,4.0,4.0,7.0,2013,2013
926,2015.0,Rajasthan,24.0,24.0,7.8,8.3,3400.0,3700.0,1.0,1.5,11.8,12.0,4.0,4.0,4.0,7.0,2013,2013
927,2016.0,Rajasthan,22.0,24.0,7.3,7.6,2400.0,2500.0,1.4,2.6,9.2,9.0,,,4.0,9.0,2013,2013
928,2017.0,Rajasthan,23.0,23.0,7.8,7.8,2300.0,2400.0,1.0,1.5,10.0,10.0,4.0,4.0,4.0,7.0,2013,2013
929,2018.0,Rajasthan,24.0,26.0,7.4,7.9,3900.0,4000.0,1.3,1.8,6.7,7.0,4.0,4.0,9.0,9.0,2013,2013
930,2019.0,Rajasthan,24.0,24.0,7.2,7.2,700.0,810.0,1.0,1.1,0.72,1.0,,,4.0,4.0,2013,2013
931,2020.0,Rajasthan,24.0,24.0,7.1,8.8,1950.0,2200.0,1.0,1.0,1.24,1.0,,,4.0,4.0,2013,2013
932,2021.0,Rajasthan,24.0,24.0,7.0,7.1,1650.0,2000.0,1.1,1.2,1.02,1.0,,,4.0,4.0,2013,2013
933,2022.0,Rajasthan,23.0,24.0,7.0,7.0,1800.0,1910.0,1.1,1.4,1.4,1.0,,,4.0,4.0,2013,2013
934,2023.0,Rajasthan,24.0,24.0,6.9,7.0,1880.0,2100.0,0.8,1.1,2.8,3.0,4.0,4.0,4.0,9.0,2013,2013
935,2024.0,Rajasthan,25.0,28.0,7.2,7.6,1270.0,1730.0,0.5,2.2,0.48,1.0,,,4.0,4.0,2013,2013
936,2025.0,Rajasthan,25.0,27.0,7.2,7.6,2200.0,2300.0,0.7,3.0,0.62,2.0,4.0,4.0,7.0,9.0,2013,2013
937,2026.0,Rajasthan,25.0,27.0,7.1,7.6,1010.0,1020.0,0.6,1.7,0.22,1.0,4.0,4.0,4.0,14.0,2013,2013
938,2027.0,Rajasthan,26.0,26.0,7.8,8.2,1200.0,1220.0,0.8,1.6,0.48,1.0,,,4.0,4.0,2013,2013
939,2028.0,Rajasthan,26.0,26.0,7.4,7.6,1270.0,1350.0,0.6,2.5,0.62,1.0,4.0,4.0,4.0,7.0,2013,2013
940,2029.0,Rajasthan,17.0,23.0,8.2,8.2,870.0,880.0,0.6,1.3,0.58,1.0,,,4.0,7.0,2013,2013
941,2030.0,Rajasthan,17.0,21.0,7.6,8.0,4000.0,4100.0,0.9,1.5,9.2,9.0,4.0,4.0,4.0,4.0,2013,2013
942,2031.0,Rajasthan,16.0,23.0,8.2,8.4,1210.0,1400.0,1.4,2.0,1.14,1.0,,,4.0,35.0,2013,2013
943,2032.0,Rajasthan,16.0,21.0,8.0,8.1,4600.0,5000.0,1.0,2.4,10.0,10.0,,,4.0,4.0,2013,2013
944,2033.0,Rajasthan,17.0,22.0,7.8,8.3,2000.0,2100.0,1.4,2.5,1.96,2.0,,,4.0,4.0,2013,2013
945,2957.0,Rajasthan,29.0,36.0,7.5,8.1,750.0,920.0,0.9,1.1,0.74,1.0,,,4.0,4.0,2013,2013
946,2958.0,Rajasthan,26.0,30.0,7.7,8.0,4100.0,4200.0,1.5,9.3,1.1,2.0,,,4.0,4.0,2013,2013
947,2959.0,Rajasthan,26.0,31.0,7.7,7.9,4200.0,4200.0,1.0,3.3,1.34,2.0,4.0,4.0,9.0,9.0,2013,2013
948,2960.0,Rajasthan,27.0,31.0,7.6,7.6,3100.0,3800.0,0.7,2.8,1.76,2.0,4.0,4.0,9.0,14.0,2013,2013
949,2961.0,Rajasthan,23.0,26.0,7.9,8.5,600.0,720.0,0.9,1.0,0.3,1.0,4.0,4.0,4.0,4.0,2013,2013
950,2962.0,Rajasthan,23.0,26.0,7.7,8.4,69.0,690.0,1.0,1.5,0.58,1.0,,,4.0,4.0,2013,2013
951,1636.0,Meghalaya,20.0,22.0,6.5,6.5,200.0,240.0,1.0,1.4,6.8,6.8,17.0,22.0,34.0,41.0,2013,2013
952,2963.0,Rajasthan,25.0,25.0,7.8,8.2,550.0,580.0,0.6,0.8,0.38,1.0,4.0,4.0,4.0,9.0,2013,2013
953,2964.0,Rajasthan,20.0,27.0,7.5,8.5,970.0,1060.0,0.8,1.8,0.42,,,,4.0,4.0,2013,2013
954,2965.0,Rajasthan,24.0,26.0,7.8,8.2,195.0,7100.0,3.1,8.6,10.5,11.0,,,4.0,4.0,2013,2013
955,2966.0,Rajasthan,24.0,25.0,8.3,8.7,2100.0,10900.0,1.3,3.1,8.3,8.0,4.0,4.0,4.0,7.0,2013,2013
956,2967.0,Rajasthan,24.0,24.0,7.8,8.7,2000.0,10400.0,1.2,2.6,4.6,5.0,4.0,4.0,4.0,9.0,2013,2013
957,2968.0,Rajasthan,23.0,24.0,8.1,8.6,10900.0,13700.0,1.8,3.6,4.9,5.0,4.0,4.0,4.0,9.0,2013,2013
958,2969.0,Rajasthan,28.0,28.0,7.0,7.5,870.0,1330.0,1.4,2.7,2.36,2.0,4.0,4.0,4.0,7.0,2013,2013
959,2970.0,Rajasthan,27.0,28.0,7.5,8.2,1450.0,1900.0,0.8,2.4,3.07,3.0,,,4.0,4.0,2013,2013
960,2971.0,Rajasthan,28.0,28.0,7.6,8.0,1900.0,2000.0,0.6,3.0,1.2,1.0,,,4.0,4.0,2013,2013
961,2972.0,Rajasthan,26.0,28.0,7.6,8.4,2000.0,2500.0,0.3,2.0,1.24,1.0,4.0,4.0,4.0,7.0,2013,2013
962,2973.0,Rajasthan,27.0,27.0,7.8,8.3,1630.0,1700.0,0.7,2.2,1.76,2.0,4.0,4.0,4.0,7.0,2013,2013
963,2974.0,Rajasthan,25.0,28.0,7.7,8.2,1460.0,3700.0,0.6,0.7,1.82,2.0,4.0,4.0,4.0,7.0,2013,2013
964,2975.0,Rajasthan,27.0,28.0,7.4,8.2,1500.0,3900.0,0.7,2.0,2.9,3.0,4.0,4.0,4.0,14.0,2013,2013
965,2976.0,Rajasthan,24.0,28.0,7.4,8.1,6500.0,6800.0,2.5,6.2,1.02,2.0,14.0,14.0,93.0,93.0,2013,2013
966,2977.0,Rajasthan,22.0,24.0,7.7,8.0,20000.0,23000.0,5.5,7.9,7.4,7.0,4.0,4.0,4.0,7.0,2013,2013
967,2982.0,Rajasthan,22.0,22.0,7.5,8.0,1210.0,1360.0,1.5,2.0,0.48,,4.0,4.0,9.0,9.0,2013,2013
968,2985.0,Rajasthan,22.0,23.0,7.1,7.6,13300.0,14800.0,2.1,9.3,7.2,7.0,4.0,4.0,4.0,14.0,2013,2013
969,2986.0,Rajasthan,24.0,26.0,7.3,8.3,7600.0,13400.0,2.2,3.7,3.1,3.0,,,4.0,4.0,2013,2013
970,2987.0,Rajasthan,24.0,24.0,7.4,8.0,7900.0,11600.0,1.8,2.8,14.5,15.0,,,4.0,4.0,2013,2013
971,2988.0,Rajasthan,24.0,26.0,7.3,8.0,7800.0,11000.0,1.7,2.8,5.1,5.0,,,4.0,9.0,2013,2013
972,1844.0,Bihar,26.0,26.0,7.7,7.7,516.0,516.0,,,,,,,,,2014,2014
973,2989.0,Rajasthan,26.0,27.0,7.2,8.2,19000.0,22000.0,2.3,4.5,14.5,15.0,4.0,4.0,4.0,9.0,2013,2013
974,2990.0,Rajasthan,26.0,26.0,7.3,7.9,9500.0,20000.0,1.4,3.5,3.6,5.0,4.0,4.0,4.0,4.0,2013,2013
975,2991.0,Rajasthan,26.0,26.0,7.5,8.0,10200.0,10200.0,2.2,3.0,5.1,5.0,4.0,4.0,4.0,7.0,2013,2013
976,2993.0,Rajasthan,24.0,24.0,7.3,7.8,8100.0,22000.0,1.8,8.6,12.0,12.0,,,4.0,4.0,2013,2013
977,2999.0,Rajasthan,25.0,26.0,7.9,7.9,1210.0,1660.0,0.8,4.9,1.4,1.0,4.0,4.0,4.0,9.0,2013,2013
978,3000.0,Rajasthan,25.0,27.0,7.3,7.9,3400.0,3600.0,1.1,4.2,1.2,1.0,4.0,4.0,4.0,9.0,2013,2013
979,3001.0,Rajasthan,27.0,27.0,7.6,8.0,1780.0,1800.0,0.9,1.2,2.68,3.0,4.0,4.0,4.0,9.0,2013,2013
980,3002.0,Rajasthan,25.0,26.0,7.9,8.3,850.0,860.0,0.6,2.2,3.04,3.0,4.0,4.0,4.0,7.0,2013,2013
981,1723.0,Rajasthan,25.0,25.0,7.5,7.5,4200.0,4200.0,1.1,1.1,1.6,1.6,,,4.0,4.0,2014,2014
982,1557.0,HIMACHAL PRADESH,19.6,19.6,6.8,7.0,477.0,702.0,0.1,0.1,,0.3,,,,,2014,2014
983,2926.0,PUNJAB,,,7.2,7.2,669.0,669.0,,,2.2,2.2,,,,,2014,2014
984,2927.0,PUNJAB,,,6.8,6.8,1158.0,1158.0,,,4.2,4.2,,,,,2014,2014
985,2928.0,PUNJAB,,,7.1,7.1,623.0,647.0,,,2.4,2.5,,,,,2014,2014
986,1902.0,PUNJAB,,,6.7,6.7,1273.0,1273.0,,,1.6,4.2,,,,,2014,2014
987,2930.0,PUNJAB,,,7.0,7.0,1673.0,1673.0,,,2.5,2.5,,,,,2014,2014
988,1561.0,HIMACHAL PRADESH,20.0,20.0,7.6,8.2,739.0,772.0,0.5,0.5,2.0,4.3,,,,,2014,2014
989,2925.0,PUNJAB,,,7.1,7.1,2390.0,2390.0,,,4.4,4.4,,,,,2014,2014
990,1513.0,ANDHRA PRADESH,23.0,23.0,7.0,7.0,2050.0,2050.0,,,2.5,2.5,,,400.0,400.0,2014,2014
991,1514.0,ANDHRA PRADESH,23.0,23.0,7.3,7.3,1639.0,1639.0,,,1.2,1.2,,,400.0,400.0,2014,2014
992,1515.0,ANDHRA PRADESH,19.0,19.0,7.4,7.4,1569.0,1569.0,0.6,0.6,2.8,2.8,,,400.0,400.0,2014,2014
993,1516.0,ANDHRA PRADESH,29.0,29.0,7.4,7.4,1119.0,1119.0,,,0.5,0.5,,,400.0,400.0,2014,2014
994,1517.0,ANDHRA PRADESH,27.0,30.6,7.2,8.1,1520.0,1950.0,0.8,1.0,3.1,8.0,,,20.0,40.0,2014,2014
995,1518.0,ANDHRA PRADESH,27.0,35.0,7.8,8.2,2150.0,5000.0,1.0,1.6,4.0,14.0,,,20.0,50.0,2014,2014
996,1519.0,ANDHRA PRADESH,27.0,37.0,7.8,8.1,730.0,1510.0,1.1,1.8,,3.1,,,30.0,30.0,2014,2014
997,1520.0,ANDHRA PRADESH,27.0,39.5,7.6,8.3,723.0,1100.0,1.1,1.5,2.1,11.5,,,20.0,40.0,2014,2014
998,1521.0,ANDHRA PRADESH,25.0,25.0,7.7,7.7,1790.0,1790.0,1.0,1.0,5.4,5.4,9.0,9.0,120.0,120.0,2014,2014
999,1522.0,ANDHRA PRADESH,25.0,29.0,7.2,7.7,771.0,1343.0,1.0,1.2,1.1,1.8,4.0,23.0,4.0,150.0,2014,2014
1000,1523.0,ANDHRA PRADESH,27.0,27.0,7.9,7.9,347.0,347.0,1.0,1.0,0.2,0.2,3.0,3.0,14.0,14.0,2014,2014
1001,1524.0,ANDHRA PRADESH,26.0,26.0,7.4,7.4,1904.0,1904.0,1.2,1.2,1.5,1.5,4.0,4.0,4.0,4.0,2014,2014
